| TC_001 | Verify Promotion Data Transfer to SAP ECC | Ensure that promotion details from Hybris are correctly transferred to SAP ECC without manual intervention | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Apply a valid promotion during checkout | Promotion details (code, discount) should be successfully applied to the order | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Promotion details should be included in the transmitted order without any validation error | | | |

| TC_002 | Validate Handling of Inactive Promotions | Ensure that orders fail if a promotion is inactive in SAP ECC and appropriate flagging and notifications occur | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Apply a promotion that is inactive in SAP ECC | Promotion should be applied without error on the Hybris side | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Order should be flagged as a failed order due to inactive promotion | | | |
| Step 4 | Verify failed flag and email notification | SAP ECC should send a failed flag to middleware, and middleware should trigger an email notification to SME | | | |

| TC_003 | Verify Multiple Promotions Handling | Ensure that multiple promotions on a single order are processed correctly in SAP ECC | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Apply multiple valid promotions during checkout | Each promotion should be successfully applied to corresponding line items | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Each line item should reflect the correct discount as per applied promotions | | | |

| TC_004 | Verify Failed Order Handling and Manual Re-Trigger | Ensure failed orders due to promotion mismatch can be manually resolved and re-triggered | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Apply an inactive promotion and complete the order | Order should be flagged as failed in SAP ECC | | | |
| Step 3 | Verify email notification to SME | Middleware should send an email notification to SME upon receiving a failed flag | | | |
| Step 4 | Manually resolve the promotion issue in SAP ECC or Hybris | Promotion mismatch should be corrected manually | | | |
| Step 5 | Re-trigger the failed order manually | Order should be processed successfully without requiring customer re-submission | | | |

| TC_005 | Validate Logging of Failed Orders | Ensure that failed orders due to promotion mismatches are logged for tracking | | | |
| Step 1 | Apply an inactive promotion and complete the order | Order should be flagged as failed in SAP ECC | | | |
| Step 2 | Check the system logs for the failed order | System logs should capture the reason for failure (promotion mismatch) and track all failed orders | | | |

| TC_006 | Validate Multiple Promotions on a Single Product | Ensure multiple promotions (e.g., percentage discount + free shipping) can be applied to a single product correctly | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Add a product to the cart and apply multiple valid promotions | All applicable promotions should be applied without conflict | | | |
| Step 3 | Complete the order and transmit to SAP ECC | All promotions should be accurately reflected in the transmitted order | | | |

| TC_007 | Validate Conflicting Promotions on a Single Product | Ensure the system applies the highest priority promotion when conflicts arise | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Add a product to the cart and apply two conflicting promotions | System should apply only one promotion based on priority or maximum benefit | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Only the correct promotion should be included in the transmitted order | | | |

| TC_008 | Validate Multiple Products with Individual Promotions | Ensure that different products can have different promotions in a single order | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Add multiple products to the cart and apply separate promotions to each | Each product should reflect the correct promotion | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Promotion details for each product should be accurately reflected in the transmitted order | | | |

| TC_009 | Validate Multiple Promotions on Multiple Products | Ensure multiple promotions can be applied across different products in the same order | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Add multiple products to the cart and apply different promotions to each | Each product should receive the appropriate promotion | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Each promotion should be reflected accurately for the respective product | | | |

| TC_010 | Validate Promotion Limit Per Product | Ensure that the system enforces the maximum number of promotions per product | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Add a product to the cart and attempt to apply more than the allowed number of promotions | System should restrict the application of excess promotions | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Only the allowed promotions should be reflected in the transmitted order | | | |

| TC_011 | Validate Cart-Level and Product-Level Promotion Combination | Ensure cart-level and product-level promotions are applied correctly together | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Apply both a cart-wide promotion and a product-specific promotion | Both promotions should apply if eligible without conflict | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Both promotions should be reflected correctly in the transmitted order | | | |

| TC_012 | Validate Expired/Inactive Promotions Handling | Ensure inactive promotions are not applied during order creation | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Add a product to the cart and attempt to apply an inactive promotion | System should not allow the application of inactive promotions | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Inactive promotions should not be included in the transmitted order | | | |

| TC_013 | Validate Multiple Promotions with Usage Limits | Ensure promotions with usage limits are enforced correctly when combined | | | |
| Step 1 | Login to Hybris and initiate order creation | User should be able to access the order creation page | | | |
| Step 2 | Apply promotions that have a usage limit | Promotions should apply only if within the allowed usage limit | | | |
| Step 3 | Complete the order and transmit to SAP ECC | Only eligible promotions should be reflected in the transmitted order | | | |

